2025-04-07 13:31:08,984 - INFO - Env 14, Goal (-09.3, 032.2), Episode 00004, setp 184, Reward 10.4 , Reach Goal,
2025-04-07 13:31:08,984 - INFO - Env 11, Goal (-12.0, -22.7), Episode 00004, setp 147, Reward 11.2 , Reach Goal,
2025-04-07 13:31:08,984 - INFO - Env 13, Goal (-03.3, 016.9), Episode 00004, setp 135, Reward -78.2, Crashed,
2025-04-07 13:31:08,984 - INFO - Env 12, Goal (006.7, 019.0), Episode 00004, setp 267, Reward 10.5 , Reach Goal,
2025-04-07 13:31:08,984 - INFO - Env 10, Goal (-28.2, 023.2), Episode 00004, setp 1115, Reward 8.6  , Reach Goal,
2025-04-07 13:31:11,379 - INFO - Env 06, Goal (011.7, 004.7), Episode 00004, setp 100, Reward 10.6 , Reach Goal,
2025-04-07 13:31:11,379 - INFO - Env 08, Goal (002.2, 017.8), Episode 00004, setp 643, Reward 10.8 , Reach Goal,
2025-04-07 13:31:11,379 - INFO - Env 09, Goal (-22.7, 023.4), Episode 00004, setp 304, Reward 10.4 , Reach Goal,
2025-04-07 13:31:11,379 - INFO - Env 07, Goal (-34.9, 029.6), Episode 00004, setp 1248, Reward 9.2  , Reach Goal,
2025-04-07 13:31:34,878 - INFO - Env 17, Goal (-19.2, -08.9), Episode 00006, setp 320, Reward -44.1, Crashed,
2025-04-07 13:31:34,878 - INFO - Env 16, Goal (030.2, 027.9), Episode 00006, setp 453, Reward 11.2 , Reach Goal,
2025-04-07 13:31:34,878 - INFO - Env 18, Goal (018.7, -33.9), Episode 00006, setp 316, Reward -119.1, Crashed,
2025-04-07 13:31:34,878 - INFO - Env 15, Goal (-06.6, -03.7), Episode 00006, setp 905, Reward 11.1 , Reach Goal,
2025-04-07 13:32:03,197 - INFO - Env 21, Goal (031.9, -27.6), Episode 00007, setp 001, Reward -138.7, Crashed,
2025-04-07 13:32:03,197 - INFO - Env 23, Goal (006.8, 024.1), Episode 00007, setp 508, Reward 10.3 , Reach Goal,
2025-04-07 13:32:03,197 - INFO - Env 22, Goal (-35.0, 009.0), Episode 00007, setp 001, Reward 15.0 , Reach Goal,
2025-04-07 13:32:03,197 - INFO - Env 20, Goal (002.3, -05.6), Episode 00007, setp 470, Reward 8.7  , Reach Goal,
2025-04-07 13:32:03,197 - INFO - Env 19, Goal (-30.4, 030.5), Episode 00007, setp 047, Reward 9.2  , Reach Goal,
2025-04-07 13:32:05,672 - INFO - Env 02, Goal (019.3, 008.7), Episode 00005, setp 338, Reward 10.4 , Reach Goal,
2025-04-07 13:32:05,672 - INFO - Env 04, Goal (-19.1, 006.1), Episode 00005, setp 771, Reward 10.6 , Reach Goal,
2025-04-07 13:32:05,672 - INFO - Env 01, Goal (023.2, 016.6), Episode 00005, setp 678, Reward 10.0 , Reach Goal,
2025-04-07 13:32:05,672 - INFO - Env 03, Goal (009.4, -35.0), Episode 00005, setp 328, Reward -137.2, Crashed,
2025-04-07 13:32:05,672 - INFO - Env 05, Goal (000.1, -21.5), Episode 00005, setp 511, Reward 8.5  , Reach Goal,
2025-04-07 13:32:40,679 - INFO - Env 16, Goal (030.2, 027.9), Episode 00007, setp 462, Reward 9.7  , Reach Goal,
2025-04-07 13:32:40,679 - INFO - Env 15, Goal (-06.6, -03.7), Episode 00007, setp 627, Reward 10.0 , Reach Goal,
2025-04-07 13:32:40,679 - INFO - Env 18, Goal (018.7, -33.9), Episode 00007, setp 284, Reward -117.2, Crashed,
2025-04-07 13:32:40,679 - INFO - Env 17, Goal (-19.2, -08.9), Episode 00007, setp 280, Reward -48.0, Crashed,
2025-04-07 13:33:06,475 - INFO - Env 14, Goal (-09.3, 032.2), Episode 00005, setp 178, Reward 9.4  , Reach Goal,
2025-04-07 13:33:06,475 - INFO - Env 13, Goal (-03.3, 016.9), Episode 00005, setp 593, Reward 8.4  , Reach Goal,
2025-04-07 13:33:06,475 - INFO - Env 11, Goal (-12.0, -22.7), Episode 00005, setp 150, Reward 10.6 , Reach Goal,
2025-04-07 13:33:06,475 - INFO - Env 12, Goal (006.7, 019.0), Episode 00005, setp 097, Reward -52.2, Crashed,
